text,original_label_split,label,abstractness_combination
group releases album,plausible,1,m-c-c
rich unfold interest,implausible,0,m-c-a
fruit reduces risk,plausible,1,c-a-a
market drives innovation,plausible,1,c-c-a
firefighter works schedule,plausible,1,c-c-m
group fits definition,plausible,1,m-m-m
album draws title,plausible,0,c-c-m
dialect secretes jealousy,implausible,0,a-c-a
compiler gathers winter,implausible,0,a-m-m
researcher describes form,plausible,1,m-a-m
encouragement slips repertoire,implausible,0,a-c-a
housing heightens army,implausible,1,m-m-c
nation establishes monument,plausible,1,m-a-c
company makes bar,plausible,1,m-m-c
collector pummels stage,implausible,0,m-c-c
economy bounces judge,implausible,0,a-c-m
band reschedules tour,plausible,0,c-m-m
marketing starts revenue,implausible,1,a-m-m
engine harasses oil,implausible,0,c-m-c
lookout dominates pond,plausible,0,m-a-c
person sends letter,plausible,1,c-m-c
attendee uncovers interview,implausible,1,m-c-m
outsider introduces desire,implausible,0,a-m-a
character narrates episode,plausible,1,a-m-m
conspiracy threatens city,plausible,1,a-m-c
company announces plan,plausible,1,m-c-m
roof redirects invitation,implausible,1,c-a-m
fascination draws attention,plausible,1,a-c-a
astrophysicist passes excavation,implausible,0,m-m-m
foot turns attempt,plausible,0,c-c-a
method gleans insect,plausible,0,a-m-c
astronaut chooses album,plausible,1,c-m-c
result qualifies place,plausible,1,a-a-m
highway requires demolition,plausible,1,c-a-m
invasion ruins city,plausible,1,m-m-c
corps reworks turban,implausible,0,m-m-c
objective develops creativity,plausible,1,a-a-a
agency identifies variety,plausible,1,m-m-a
judge convicts individual,plausible,1,m-c-m
interpretation finds favor,plausible,1,a-m-a
advantage outweighs risk,plausible,0,a-m-a
nation sows vitality,implausible,1,m-c-a
receiver knows word,plausible,1,m-a-m
novelty instructs rainfall,implausible,1,a-m-c
agenda irrigates nation,implausible,1,a-c-m
craft inaugurates title,implausible,0,m-m-m
constancy leaves duration,implausible,0,a-m-a
girl observes basin,implausible,1,c-m-c
mistreatment knows plan,implausible,1,a-a-m
bunch puts pace,implausible,0,m-m-m
locomotive slams citadel,implausible,1,c-c-c
consciousness wraps takeoff,implausible,0,a-c-m
inventor demonstrates locomotive,plausible,1,m-m-c
dingo reschedules way,implausible,1,c-m-a
midsection permits quality,implausible,0,m-c-a
guardianship assists cigarette,implausible,0,a-m-c
extradition ties acclaim,implausible,1,a-c-a
magazine breaks taboo,plausible,1,c-c-a
nation combines effort,plausible,1,m-c-a
boar swaps name,implausible,1,c-c-m
galaxy revisits page,implausible,0,m-m-c
altar reaches banana,implausible,0,c-c-c
gate transmits kind,plausible,1,c-c-a
lens beats clock,implausible,0,c-c-c
codex hypnotizes mentality,implausible,0,m-m-a
owner sets adaptation,implausible,1,m-c-a
discovery inspires script,plausible,1,a-a-c
paper confirms speculation,plausible,1,c-a-a
celebration pleads robot,implausible,0,m-m-c
club welcomes guitarist,plausible,1,m-a-c
homeland disagrees way,implausible,0,m-m-a
authority applies brand,plausible,1,a-m-m
effect remarries connectivity,implausible,0,a-m-a
function manages knowledge,plausible,1,a-a-a
road diversifies generalization,implausible,1,c-a-a
person speak language,plausible,1,c-c-a
photograph depicts band,plausible,0,c-a-c
crisis prohibits supporter,implausible,1,a-a-m
class reduces farmer,plausible,0,m-a-c
novelty illuminates tendency,implausible,0,a-c-a
ranch awakens funding,implausible,0,c-c-m
manager negates accusation,plausible,1,m-a-a
eyeglass utilizes eyepiece,plausible,1,c-a-c
rule leads pillow,implausible,0,a-c-c
abstraction kicks peanut,implausible,0,a-c-c
office drops revelation,implausible,1,c-c-a
ape holds mirror,plausible,1,c-c-c
judgment promises student,implausible,1,a-a-c
man leaves hometown,plausible,1,c-m-m
core evades overdraft,implausible,0,m-m-m
failure holds idea,plausible,1,a-c-a
experimenter undertakes agreement,implausible,1,m-a-a
derailment sells integration,implausible,0,a-c-a
couple finds institution,plausible,1,m-m-m
collision sends person,plausible,0,m-m-c
forecast portrays future,plausible,1,a-a-a
plane observes pressure,plausible,1,c-m-m
principle opposes view,plausible,1,a-m-m
group sends letter,plausible,1,m-m-c
decentralization exposes perspective,implausible,1,a-c-a
flame envelops airship,plausible,1,c-c-c
mania encourages energy,plausible,1,a-m-m
police stop motorist,plausible,1,c-c-c
geographer mentions reference,plausible,1,m-m-a
initiation draws boardwalk,implausible,0,a-c-c
movement imitates operation,plausible,1,m-m-m
photograph rewrites bank,implausible,0,c-c-c
effort discourages activist,plausible,1,a-a-m
magazine degrades ability,plausible,0,c-a-a
mechanism stops ovulation,plausible,1,m-c-m
cobblestone imitates envelope,implausible,1,c-m-c
optician deduces limitation,implausible,1,c-a-a
payload lives blowout,implausible,0,m-c-m
furnace befalls unit,implausible,0,c-a-m
hospital dismantles fame,implausible,0,c-c-a
narrator automates ovulation,implausible,0,m-m-m
broker dominates kebab,implausible,1,m-a-c
duck rotates horse,implausible,0,c-c-c
role shouts nectar,implausible,1,a-c-c
majority casts ballot,plausible,1,a-c-c
man loves thing,plausible,1,c-a-m
filer misconstrues bay,implausible,0,m-a-c
area produces number,plausible,1,m-c-m
city hangs intake,implausible,0,c-c-m
activity afflicts point,implausible,0,a-a-m
classification hauls slavery,implausible,1,a-c-m
literature proves camera,implausible,1,m-a-c
ruling applies scrutiny,plausible,1,a-m-a
enterprise asks oak,implausible,0,a-m-c
road pinpoints prayer,implausible,0,c-m-m
dealer puts soccer,implausible,0,m-m-c
building understates food,implausible,1,c-a-c
famine exposes metaphor,implausible,1,m-c-a
retardation inaugurates distance,implausible,1,a-m-m
employer drops countersuit,plausible,1,m-c-a
director clarifies controversy,plausible,1,m-a-a
bag overruns string,implausible,0,c-m-c
conspiracy sings slaughter,implausible,0,a-c-m
portrait lays marble,implausible,0,c-c-c
chimpanzee reconnects prediction,implausible,0,c-m-a
scandal sprouts number,implausible,0,a-c-m
documentation becomes reunion,implausible,1,m-a-m
encroachment hits league,plausible,0,a-c-m
engineer competes baboon,implausible,1,c-m-c
ally infiltrates city,plausible,0,a-m-c
massacre constitutes genocide,plausible,1,m-a-a
countess regulates name,implausible,1,m-a-m
mission develops pipeline,plausible,1,a-a-c
program slams loincloth,implausible,0,m-c-c
foundation helps person,plausible,1,m-m-c
lens terrifies ceremony,implausible,1,c-m-m
activation weaves news,implausible,0,a-c-m
gauge upends creation,implausible,1,m-m-a
purpose permits takeoff,plausible,1,a-c-m
judge permits question,plausible,1,m-c-m
realism overpowers alignment,implausible,1,a-m-m
crusader loves poster,implausible,1,m-a-c
purpose secures cable,plausible,1,a-m-c
fantail fits skill,implausible,0,m-m-a
guard condemns remittance,implausible,1,m-a-a
garden stimulates interest,plausible,1,c-c-a
mural sprouts duty,implausible,0,c-c-a
letter corroborates sentiment,plausible,1,c-a-a
pie lure church,implausible,0,c-c-c
phase obeys goat,implausible,0,a-m-c
rule provides value,plausible,1,a-m-a
customer straddles warmth,implausible,1,m-c-m
child predates neuron,implausible,1,c-m-m
desensitization demolishes farmhouse,implausible,1,a-c-c
